Source_ID,Theme,Metric,Value,Unit,Geography,Population,Period,Source,Source_URL,Notes
STATSSA26,South Africa labour market,Working-age population aged 15-34,49.7,percent,South Africa,Working-age population aged 15-64,Q1 2026,Statistics South Africa,https://www.statssa.gov.za/?p=19526,Share of working-age population aged 15-34
STATSSA26,South Africa labour market,Youth employed aged 15-34,5.6,million,South Africa,People aged 15-34,Q1 2026,Statistics South Africa,https://www.statssa.gov.za/?p=19526,Published count rounded to one decimal million
STATSSA26,South Africa labour market,Youth unemployed aged 15-34,4.7,million,South Africa,People aged 15-34,Q1 2026,Statistics South Africa,https://www.statssa.gov.za/?p=19526,Published count rounded to one decimal million
STATSSA26,South Africa labour market,Youth outside labour force aged 15-34,10.6,million,South Africa,People aged 15-34,Q1 2026,Statistics South Africa,https://www.statssa.gov.za/?p=19526,Published count rounded to one decimal million
STATSSA26,South Africa labour market,Unemployment rate age 15-24,60.9,percent,South Africa,Labour force aged 15-24,Q1 2026,Statistics South Africa,https://www.statssa.gov.za/?p=19526,
STATSSA26,South Africa labour market,Unemployment rate age 25-34,40.6,percent,South Africa,Labour force aged 25-34,Q1 2026,Statistics South Africa,https://www.statssa.gov.za/?p=19526,
STATSSA26,South Africa labour market,NEET rate age 15-24,37.6,percent,South Africa,People aged 15-24,Q1 2026,Statistics South Africa,https://www.statssa.gov.za/?p=19526,Not in employment education or training
STATSSA26,South Africa labour market,NEET rate age 15-34,45.6,percent,South Africa,People aged 15-34,Q1 2026,Statistics South Africa,https://www.statssa.gov.za/?p=19526,Not in employment education or training
STATSSA26,South Africa labour market,Female NEET rate age 15-24,39.2,percent,South Africa,Females aged 15-24,Q1 2026,Statistics South Africa,https://www.statssa.gov.za/?p=19526,
STATSSA26,South Africa labour market,Male NEET rate age 15-24,36.0,percent,South Africa,Males aged 15-24,Q1 2026,Statistics South Africa,https://www.statssa.gov.za/?p=19526,
STATSSA26,Youth employment by industry,Trade,23.6,percent,South Africa,Employed people aged 15-34,Q1 2026,Statistics South Africa,https://www.statssa.gov.za/?p=19526,Share of employed youth
STATSSA26,Youth employment by industry,Community and social services,19.9,percent,South Africa,Employed people aged 15-34,Q1 2026,Statistics South Africa,https://www.statssa.gov.za/?p=19526,Share of employed youth
STATSSA26,Youth employment by industry,Finance,18.5,percent,South Africa,Employed people aged 15-34,Q1 2026,Statistics South Africa,https://www.statssa.gov.za/?p=19526,Share of employed youth
DELOITTEZA25,South African Gen Z development,Actively enhancing skills weekly,69,percent,South Africa,Gen Z respondents,2025,Deloitte South Africa,https://www.linkedin.com/posts/deloitte_careergrowth-genz-millennials-activity-7346447611979071489-KPCC,
DELOITTEZA25,South African Gen Z development,Value formal training programmes,98,percent,South Africa,Gen Z respondents,2025,Deloitte South Africa,https://www.linkedin.com/posts/deloitte_careergrowth-genz-millennials-activity-7346447611979071489-KPCC,
DELOITTEZA25,South African Gen Z development,Prefer on-the-job learning,97,percent,South Africa,Gen Z respondents,2025,Deloitte South Africa,https://www.linkedin.com/posts/deloitte_careergrowth-genz-millennials-activity-7346447611979071489-KPCC,
DELOITTEZA25,South African Gen Z development,See mentorship as essential,97,percent,South Africa,Gen Z respondents,2025,Deloitte South Africa,https://www.linkedin.com/posts/deloitte_careergrowth-genz-millennials-activity-7346447611979071489-KPCC,
DELOITTEZA25,South African Gen Z development,Value feedback and performance reviews,94,percent,South Africa,Gen Z respondents,2025,Deloitte South Africa,https://www.linkedin.com/posts/deloitte_careergrowth-genz-millennials-activity-7346447611979071489-KPCC,
DELOITTEZA25,South African Gen Z development,Value workshops and conferences,92,percent,South Africa,Gen Z respondents,2025,Deloitte South Africa,https://www.linkedin.com/posts/deloitte_careergrowth-genz-millennials-activity-7346447611979071489-KPCC,
INTEL24,Employer concerns,Recent graduate hires unsatisfactory in some or all cases,75,percent,Not stated in published methodology,966 business leaders involved in entry-level hiring,August 2024,Intelligent.com,https://www.intelligent.com/1-in-6-companies-are-hesitant-to-hire-recent-college-graduates/,
INTEL24,Employer concerns,Companies that fired a recent college graduate hire,60,percent,Not stated in published methodology,966 business leaders involved in entry-level hiring,August 2024,Intelligent.com,https://www.intelligent.com/1-in-6-companies-are-hesitant-to-hire-recent-college-graduates/,
INTEL24,Reasons hires did not work out,Lack of motivation or initiative,50,percent,Not stated in published methodology,Business leaders reporting recent graduate hire issues,August 2024,Intelligent.com,https://www.intelligent.com/1-in-6-companies-are-hesitant-to-hire-recent-college-graduates/,
INTEL24,Reasons hires did not work out,Lack of professionalism,46,percent,Not stated in published methodology,Business leaders reporting recent graduate hire issues,August 2024,Intelligent.com,https://www.intelligent.com/1-in-6-companies-are-hesitant-to-hire-recent-college-graduates/,
INTEL24,Reasons hires did not work out,Poor communication skills,39,percent,Not stated in published methodology,Business leaders reporting recent graduate hire issues,August 2024,Intelligent.com,https://www.intelligent.com/1-in-6-companies-are-hesitant-to-hire-recent-college-graduates/,
INTEL24,Reasons hires did not work out,Struggles with feedback,38,percent,Not stated in published methodology,Business leaders reporting recent graduate hire issues,August 2024,Intelligent.com,https://www.intelligent.com/1-in-6-companies-are-hesitant-to-hire-recent-college-graduates/,
